1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,iata_code
1396.0,2.0,15.0,7503.0,3.0,2.54,5.02,1.0,4013.0,1913.0,4.0,3.0,3.0,2.0,4.0,4.0,30.0,4.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,2.0,4.02,Europe,Iceland,reykjavik,KEF
2739.0,2.0,16.0,3050.0,2.0,2.77,4.67,1.0,3829.0,2980.0,3.0,2.0,4.0,4.0,3.0,3.0,20.0,4.0,4.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.61,North America,United States,new york city ny,JFK
1240.0,2.0,12.0,1891.0,2.0,1.95,4.02,1.0,2143.0,1405.0,3.0,2.0,3.0,2.0,3.0,3.0,15.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,3.69,North America,United States,orlando fl,MCO
436.0224599665397,2.0,10.0,1159.0,3.0,0.36,1.43,3.0,471.0,688.2277711591838,2.0,1.0,3.0,2.0,3.0,1.0,22.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,4.0,3.65,Asia,Thailand,krabi,KBV
1118.0,2.0,20.0,2440.0,1.0,2.61,3.07,1.0,2321.0,1439.0,4.0,3.0,4.0,3.0,3.0,3.0,29.0,4.0,4.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.95,Europe,Germany,munich,MUC
1569.0,4.0,23.0,5002.0,1.0,2.67,3.99,1.0,2894.0,1849.0,3.0,4.0,4.0,3.0,4.0,4.0,9.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.44,Europe,Netherlands,amsterdam,AMS
727.0,2.0,20.0,1464.0,3.0,1.81,2.91,2.0,1625.0,1079.0,4.0,3.0,3.0,3.0,4.0,3.0,53.0,2.0,3.0,4.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.47,Europe,Sweden,malmo,JMM
1175.0,2.0,19.0,2227.0,2.2391387015099085,3.43,5.04,1.0,2678.0,1786.0,4.0,4.0,3.0,3.0,4.0,4.0,42.0,3.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.14,Europe,Norway,bergen,BGO
1541.0,2.0,18.0,4423.0,2.738558691847329,3.3,4.31,1.0,3414.0,2049.0,3.0,4.0,3.0,3.0,4.0,4.0,43.0,2.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.95,Europe,Norway,trondheim,TRD
1658.0,4.0,19.0,2044.0,2.0,2.22,3.01,1.0,2260.0,1588.0,4.0,3.0,3.0,4.0,4.0,3.0,21.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.18,Oceania,Australia,melbourne,MLB
1026.0,4.0,17.0,1769.0,2.0,1.74,2.77,1.0,1896.0,1290.0,4.0,3.0,3.0,1.0,4.0,3.0,19.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.18,Oceania,Australia,adelaide,ADL
1512.0,4.0,14.0,1830.0,2.0,2.15,3.62,1.0,1980.0,1258.0,3.0,3.0,3.0,2.0,4.0,3.0,25.0,4.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,4.1,Oceania,New Zealand,auckland,AKL
610.0,2.0,1.0,2989.0,2.0,1.92,2.94,1.0,2061.0,1019.0,2.0,3.0,3.0,3.0,4.0,3.0,37.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0,3.58,Oceania,New Zealand,queenstown,ZQN
830.0,3.0,21.0,1556.0,2.0,1.13,2.26,2.0,1483.0,1018.0,3.419581894035847,3.0,4.0,3.0,4.0,3.0,30.0,2.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,3.82,Oceania,New Zealand,christchurch,CHC
813.0,2.0,13.0,1891.0,2.0,1.81,3.17,2.0,1760.0,1136.0,4.0,3.0,4.0,2.0,4.0,3.0,43.0,4.0,3.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,4.18,Oceania,New Zealand,wellington,WLG
1215.0,4.0,16.0,1739.0,2.0,2.36,3.09,1.0,2241.0,1570.0,4.0,3.0,3.0,1.0,4.0,3.0,19.0,3.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.03,Oceania,Australia,brisbane,BNE
713.0,3.0,27.0,1739.0,2.0,1.47,2.25,2.0,1395.0,881.0,4.0,2.0,3.056887001919671,4.0,3.06937161456992,3.0,24.0,3.0,4.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.55,Europe,Czechia,prague,PRG
2520.0,2.0,20.0,2898.0,1.0,4.22,4.94,1.0,3426.0,2305.0,4.0,3.0,3.0,3.0,4.0,4.0,28.0,3.0,3.0,4.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,4.34,Europe,Switzerland,zurich,ZRH
1175.0,2.0,8.0,1891.0,1.0,2.86,1.86,1.0,2401.0,1500.0,3.0,2.0,3.0,3.0,2.0,4.0,17.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,3.97,Europe,Italy,milan,MXP
711.0,2.0,32.0,2776.0,2.0,1.34,2.84,2.0,1748.0,966.0,2.0,2.0,2.0,2.0,2.0,4.0,15.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,3.84,Asia,Japan,osaka,KIX
603.0,2.0,17.0,1251.0,3.0,1.58,2.43,2.0,1370.0,848.0,4.0,3.0,3.0,3.0,3.0,4.0,36.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,4.56,Europe,Spain,valencia,VLN
362.0,2.0,15.0,1098.0,3.0,0.48,1.51,3.0,728.0,477.0,2.0,1.0,3.0,2.0,3.0,1.0,33.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,3.62,Asia,Thailand,ao nang,KBV
539.0,2.0,8.0,1129.0,3.0,1.83,1.77,2.0,1302.0,773.0,3.0,3.0,3.0,3.0,3.0,4.0,35.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.34,Europe,Spain,alicante,ALC
571.0,2.0,8.0,2318.0,3.0,1.62,2.17,2.0,1604.0,830.0,3.0,3.0,4.0,3.0,3.0,4.0,43.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.06,Europe,Spain,malaga,AGP
830.0,2.0,14.0,2623.0,2.141193671932353,1.7,2.58,1.0,2173.0,1143.0,3.0,2.0,3.0,3.0,3.0,4.0,43.0,3.0,3.0,3.0,3.0,2.562193261672811,0.0,1.0,4.0,3.0,4.0,4.0,3.89,Europe,Malta,sliema,MLA
910.0,2.0,19.0,1373.0,3.0,2.14,1.85,2.0,1776.0,1143.0,3.0,3.0,3.0,3.0,3.0,4.0,34.0,4.0,3.0,3.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.21,Europe,Spain,madrid,MAD
150.0,2.0,20.0,2318.0,1.0,0.39,0.95,3.0,853.0,241.0,1.0,1.0,2.0,4.0,1.0,1.0,11.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,3.69774197771473,Asia,India,goa,GOX
